Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.991491325768968,0.0864424859918745,-0.153406127761898,0,0,0,false,false
1,-0.990881364279195,0.0896624231450321,-0.153564453125,0,0,0,false,false
2,-0.987552181474052,0.0933239896079677,-0.15100551341182,0,0,0,false,false
3,-0.985322258648456,0.0942100925831352,-0.152988231196904,0,0,0,false,false
4,-0.98263927944122,0.0917520516151758,-0.1533203125,0,0,0,false,false
5,-0.979219094189703,0.0868141833043559,-0.154179141421096,0,0,0,false,false
6,-0.972294525252345,0.0873748646104668,-0.154296875,0,0,0,false,false
7,-0.975769632881549,0.0968992143436088,-0.157348893717943,0,0,0,false,false
8,-0.975315568257521,0.0997751739501446,-0.163144184540397,0,0,0,false,false
9,-0.971315732229502,0.0966068985022742,-0.159461837061214,0,0,0,false,false
10,-0.965272317695165,0.0972230412488543,-0.159803262118154,0,0,0,false,false
11,-0.967810168357121,0.0976430963211448,-0.159912109375,0,0,0,false,false
12,-0.976068051502627,0.09765625,-0.157085096407787,0,0,0,false,false
13,-0.9814282512918,0.09765625,-0.158917705002,0,0,0,false,false
14,-0.980379228117179,0.0949648965292583,-0.156046979502363,0,0,0,false,false
15,-0.982319967618572,0.0921390845829496,-0.153215183425667,0,0,0,false,false
16,-0.984537852638192,0.0910350047308202,-0.153952491453081,0,0,0,false,false
17,-0.991137542469407,0.0895464783047029,-0.150696371155711,0,0,0,false,false
18,-0.990942244075951,0.0860532641817126,-0.149578160770181,0,0,0,false,false
19,-0.989811543767105,0.0808891932465815,-0.147840072139646,0,0,0,false,false
20,-0.98974609375,0.0822389214281557,-0.149522610448748,0,0,0,false,false
21,-0.98974609375,0.0850318896938254,-0.150721401248067,0,0,0,false,false
22,-0.987417638555005,0.0902265930136298,-0.15156718696526,0,0,0,false,false
23,-0.980393498010142,0.0901324193067369,-0.150058194136079,0,0,0,false,false
24,-0.976090936550755,0.0949780670716833,-0.150286997473715,0,0,0,false,false
25,-0.973830021902199,0.095291825995024,-0.150849360983772,0,0,0,false,false
26,-0.973165823377108,0.0924269088095397,-0.147311182848779,0,0,0,false,false
27,-0.974197463485321,0.0894889933985105,-0.147885271473531,0,0,0,false,false
28,-0.979764794554863,0.095871282413529,-0.150222976034589,0,0,0,false,false
29,-0.983732628510774,0.103647478828787,-0.157926430789075,0,0,0,false,false
30,-0.980994567886215,0.101236386345965,-0.158277617820269,0,0,0,false,false
31,-0.976080791973534,0.0978111935796406,-0.1547121382808,0,0,0,false,false
32,-0.978082322871302,0.101549987290817,-0.151955897401023,0,0,0,false,false
33,-0.984038826984833,0.1078507851157,-0.156366285456626,0,0,0,false,false
34,-0.983246261526526,0.108154296875,-0.155854247022762,0,0,0,false,false
35,-0.985559905168773,0.106828253196283,-0.14845926819758,0,0,0,false,false
36,-0.988092843298171,0.103727596375653,-0.149308410586117,0,0,0,false,false
37,-0.991189995510704,0.101720038861459,-0.1494140625,0,0,0,false,false
38,-0.994491591784349,0.0973959345754998,-0.150549902188654,0,0,0,false,false
39,-0.991841302010271,0.0898144934165076,-0.150072057877269,0,0,0,false,false
40,-0.98772006252145,0.0825537681545735,-0.148057815903915,0,0,0,false,false
41,-0.988689521777376,0.082275390625,-0.149959000644374,0,0,0,false,false
42,-0.992254426498602,0.0820468517791844,-0.152600745455224,0,0,0,false,false
43,-0.988577548339017,0.0831553107976724,-0.153460705325794,0,0,0,false,false
44,-0.978533175249025,0.0875672204951761,-0.154266309261328,0,0,0,false,false
45,-0.972348356936649,0.099782374166878,-0.151315612737626,0,0,0,false,false
46,-0.975383016724092,0.105094576631539,-0.152596932504294,0,0,0,false,false
47,-0.9755859375,0.100390071804886,-0.153775222502992,0,0,0,false,false
48,-0.972216628119212,0.0926942477761001,-0.152886955068867,0,0,0,false,false
49,-0.969320175452227,0.0899057363041229,-0.155211108523199,0,0,0,false,false
50,-0.973179980369031,0.096563749711145,-0.160308683038214,0,0,0,false,false
51,-0.983379575868392,0.100256836305337,-0.163490483940514,0,0,0,false,false
52,-0.984365065263398,0.0977938385281229,-0.161019529997405,0,0,0,false,false
53,-0.982055202070982,0.0992302370281644,-0.15313843661739,0,0,0,false,false
54,-0.982925781921376,0.103805464149709,-0.153992904873188,0,0,0,false,false
55,-0.985622684668002,0.108991866905677,-0.153860709735475,0,0,0,false,false
56,-0.98655504234762,0.110804678024626,-0.152759818130012,0,0,0,false,false
57,-0.985873215666011,0.110652321923185,-0.151535455161542,0,0,0,false,false
58,-0.987239793509716,0.106465706569412,-0.149948492521362,0,0,0,false,false
59,-0.985902786254883,0.0998320316190946,-0.150369644165039,0,0,0,false,false
60,-0.987242829850774,0.0952703474419929,-0.149099062492701,0,0,0,false,false
61,-0.98507136641517,0.0906353146662231,-0.148123801755541,0,0,0,false,false
62,-0.984145684742793,0.0864983193770471,-0.143943666306044,0,0,0,false,false
63,-0.987418528862226,0.0803264559122249,-0.145710081542429,0,0,0,false,false
64,-0.989703077665426,0.0795974100024895,-0.148136906019155,0,0,0,false,false
65,-0.984325628450372,0.0824213750413674,-0.147994771050615,0,0,0,false,false
66,-0.979345451011467,0.0920257252240588,-0.14676700413239,0,0,0,false,false
67,-0.982182619304612,0.103751592243401,-0.147790840693866,0,0,0,false,false
68,-0.983381746574727,0.102412183411931,-0.149379279040978,0,0,0,false,false
69,-0.977393984743091,0.090206627271041,-0.147525222654119,0,0,0,false,false
70,-0.973690106139126,0.0797739770701573,-0.148667931817767,0,0,0,false,false
71,-0.975277657739747,0.0881791696011704,-0.156265657270475,0,0,0,false,false
72,-0.981537186264401,0.100353193909482,-0.161539874815521,0,0,0,false,false
73,-0.979796301824041,0.1005859375,-0.15729958633004,0,0,0,false,false
74,-0.97523138480175,0.0975006313344342,-0.151471154958482,0,0,0,false,false
75,-0.97485607163478,0.100834776472466,-0.153707852886369,0,0,0,false,false
76,-0.976944609535279,0.106754296063544,-0.154050084786274,0,0,0,false,false
77,-0.983850957466871,0.11533159327246,-0.150175227829541,0,0,0,false,false
78,-0.987986127107825,0.111686274890977,-0.148456063084418,0,0,0,false,false
79,-0.985000351554051,0.0994532654951323,-0.1484375,0,0,0,false,false
80,-0.984379873028087,0.093088191069295,-0.14867610858351,0,0,0,false,false
81,-0.985048781655359,0.097156459559808,-0.145337784417612,0,0,0,false,false
82,-0.985527772095438,0.0988612766114568,-0.145502742236224,0,0,0,false,false
83,-0.989190719556033,0.0915856574670191,-0.145268513236812,0,0,0,false,false
84,-0.9892578125,0.0820669352807327,-0.150052093849017,0,0,0,false,false
85,-0.987286153321349,0.0774358732518548,-0.148709290962818,0,0,0,false,false
86,-0.983937650131787,0.0815172222120899,-0.14889044961265,0,0,0,false,false
87,-0.979622495124926,0.0920956722783592,-0.153517015284728,0,0,0,false,false
88,-0.978765100800599,0.0993012094451064,-0.15615476041485,0,0,0,false,false
89,-0.978759765625,0.0954302685706728,-0.156976616984919,0,0,0,false,false
90,-0.976030902599775,0.0856828061920894,-0.155299139168482,0,0,0,false,false
91,-0.973757710605847,0.0757686552361428,-0.158403335851864,0,0,0,false,false
92,-0.972179953761688,0.0763232836291103,-0.158447265625,0,0,0,false,false
93,-0.974405558386218,0.0900052989124502,-0.163117738081783,0,0,0,false,false
94,-0.977998757056078,0.105684949510346,-0.165028166358084,0,0,0,false,false
95,-0.983112336361197,0.110569771739324,-0.161674993534005,0,0,0,false,false
96,-0.982188358145143,0.107149741273798,-0.155861533201937,0,0,0,false,false
97,-0.982177734375,0.104022933662824,-0.150492064246177,0,0,0,false,false
98,-0.981210777588584,0.104729123839812,-0.149661289009503,0,0,0,false,false
99,-0.982551833328055,0.104064167982787,-0.153528513454934,0,0,0,false,false
100,-0.98566066780518,0.102196280912063,-0.150902709755467,0,0,0,false,false
101,-0.988955561657528,0.0981675929792071,-0.151100011451708,0,0,0,false,false
102,-0.989500335529513,0.091843972079318,-0.153304587702382,0,0,0,false,false
103,-0.989032051932669,0.0869687458485319,-0.150896852511021,0,0,0,false,false
104,-0.988784729372057,0.079049892437145,-0.15087890625,0,0,0,false,false
105,-0.988312360301029,0.0684030358454663,-0.151103085709333,0,0,0,false,false
106,-0.987134143115285,0.0694892661162944,-0.153726155002363,0,0,0,false,false
107,-0.984461838929079,0.0760891035101978,-0.154954315769136,0,0,0,false,false
108,-0.982983876152471,0.0841132374330828,-0.158433176318342,0,0,0,false,false
109,-0.980477462265071,0.0937393788860109,-0.157475329283367,0,0,0,false,false
110,-0.983143367418221,0.0983788381094311,-0.159400898911241,0,0,0,false,false
111,-0.978526383529825,0.0953655500392297,-0.159667558380945,0,0,0,false,false
112,-0.967072044372002,0.0898577556116369,-0.156085362560314,0,0,0,false,false
113,-0.967269655825927,0.0926911061892608,-0.154543525526922,0,0,0,false,false
114,-0.974929445503702,0.0946658959245825,-0.161963779219361,0,0,0,false,false
115,-0.978755038310718,0.0966366194121726,-0.165035462462892,0,0,0,false,false
116,-0.977541913789322,0.0978878577817894,-0.162197357792646,0,0,0,false,false
117,-0.978730325820339,0.09813327654868,-0.158951206074006,0,0,0,false,false
118,-0.979703133528103,0.100525758635459,-0.158691569073002,0,0,0,false,false
119,-0.98212347828203,0.103024755178685,-0.160397682566252,0,0,0,false,false
120,-0.984373106002025,0.0975465064682726,-0.158016206964102,0,0,0,false,false
121,-0.983414922538935,0.0904302438825751,-0.155053115748403,0,0,0,false,false
122,-0.982666411932635,0.0864708150761861,-0.154297174662347,0,0,0,false,false
123,-0.983868853579953,0.0845149271331551,-0.156492447632956,0,0,0,false,false
124,-0.984840971239602,0.0803834835730938,-0.152590537720318,0,0,0,false,false
125,-0.988035943079432,0.0764171351038786,-0.154029047174378,0,0,0,false,false
126,-0.987558175510798,0.0766549661733958,-0.156981588479672,0,0,0,false,false
127,-0.984405958372933,0.0831632378616842,-0.153809552886954,0,0,0,false,false
128,-0.981457308060519,0.0963638141856845,-0.157444162481777,0,0,0,false,false
129,-0.980468803480318,0.103026942809676,-0.160395190709274,0,0,0,false,false
130,-0.981201136317092,0.102058054879432,-0.16088866170093,0,0,0,false,false
131,-0.977310508585956,0.089879214700769,-0.15698811820878,0,0,0,false,false
132,-0.969729704030055,0.0786133035939482,-0.155761720581195,0,0,0,false,false
133,-0.967773456197822,0.0813034303408181,-0.162115091518528,0,0,0,false,false
134,-0.975595991605372,0.0959620272360592,-0.167241494688871,0,0,0,false,false
135,-0.979247900343997,0.100830041110447,-0.168945254800599,0,0,0,false,false
136,-0.976548786841547,0.100341983302679,-0.16721847060167,0,0,0,false,false
137,-0.974609551896147,0.102050767881677,-0.158676400750925,0,0,0,false,false
138,-0.97683452843403,0.101801809216759,-0.157464399725874,0,0,0,false,false
139,-0.981730012225806,0.0971082009792362,-0.156978803867442,0,0,0,false,false
140,-0.984641538806674,0.0907502344638699,-0.156738778989892,0,0,0,false,false
141,-0.985857023155837,0.0861256525798756,-0.157714787113814,0,0,0,false,false
142,-0.987083686471386,0.0827648005363625,-0.157461647034064,0,0,0,false,false
143,-0.988796267678909,0.0842276911910771,-0.154785794170857,0,0,0,false,false
144,-0.990283030488176,0.0822083904568792,-0.155517430565469,0,0,0,false,false
145,-0.994871082326301,0.0754405662196484,-0.155265048113051,0,0,0,false,false
146,-0.991841735083994,0.0772088687290316,-0.154544522196896,0,0,0,false,false
147,-0.983233563590809,0.0829288654259635,-0.157245958826871,0,0,0,false,false
148,-0.977739906984408,0.0915754874778012,-0.157740089779002,0,0,0,false,false
149,-0.976812366000163,0.103481615268683,-0.160984373458043,0,0,0,false,false
150,-0.97923553549869,0.108625902600018,-0.164298114156567,0,0,0,false,false
151,-0.972200939967144,0.0990666776440259,-0.159794960335258,0,0,0,false,false
152,-0.966065071283877,0.090088183708405,-0.156758385305474,0,0,0,false,false
153,-0.966597744461966,0.0903644896757077,-0.163101705387269,0,0,0,false,false
154,-0.972869355037209,0.0957729335128852,-0.16335549397614,0,0,0,false,false
155,-0.97802734375,0.0969814673748728,-0.166011658479382,0,0,0,false,false
156,-0.978026241366687,0.0989933089863793,-0.164205102600289,0,0,0,false,false
157,-0.977787977217065,0.103957256735969,-0.16033870265452,0,0,0,false,false
158,-0.979594953125749,0.108154296875,-0.159350541614448,0,0,0,false,false
159,-0.983003706466751,0.108130048595968,-0.155912309158249,0,0,0,false,false
160,-0.984370959630975,0.10147167642553,-0.154553727916031,0,0,0,false,false
161,-0.983342654072809,0.0936043965844898,-0.156479852946479,0,0,0,false,false
162,-0.98218631687619,0.0856716414372098,-0.153436862665001,0,0,0,false,false
163,-0.984254846607949,0.0816112989573641,-0.151369053331929,0,0,0,false,false
164,-0.986838582573499,0.0787469355352405,-0.151607295678008,0,0,0,false,false
165,-0.987131255242258,0.0769851371603192,-0.151164162020806,0,0,0,false,false
166,-0.992413772356554,0.0718467233507356,-0.15576171875,0,0,0,false,false
